id,dificuldade,llm,modelo_versao,data_coleta,status_execucao,executou,passou,qtd_testes,qtd_passou,qtd_falhou,taxa_aprovacao,tempo_segundos,aderencia_escopo,observacao
CT21,dificil,Claude,Sonnet 5,,falha_testes,sim,nao,15,6,9,40.00,0.826,,"Error: expect(received).toEqual(expected) // deep equality - Expected - 1 + Received + 1 Object { ""$match"": Object { - ""_id"": ""60d5ec49f1a2c8b1f8e4e1a1"", + ""_id"": mockConstructor {}, }, } at Object.toEqual (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\04-respostas-llms\claude\dificil\CT21_claude.test.js:52:27) | Error: Invalid ObjectId at Object.<anonymous> (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\04-respostas-llms\claude\dificil\CT21_claude.test.js:121:21) at Promise.finally.completed (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\05-execucao\node_modules\jest-circus\build\jestAdapterInit.js:1834:28) at new Promise (<anonymous>) at callAsyncCircusFn (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\05-execucao\node_modules\jest-circus\build\jestAdapterInit.js:1774:10) at _callCircusTest (C:\Users"
CT22,dificil,Claude,Sonnet 5,,sucesso,sim,sim,9,9,0,100.00,0.906,,
CT23,dificil,Claude,Sonnet 5,,sucesso,sim,sim,13,13,0,100.00,0.849,,
CT24,dificil,Claude,Sonnet 5,,sucesso,sim,sim,7,7,0,100.00,1.529,,
CT25,dificil,Claude,Sonnet 5,,sucesso,sim,sim,8,8,0,100.00,1.563,,
CT26,dificil,Claude,Sonnet 5,,sucesso,sim,sim,8,8,0,100.00,0.957,,
CT27,dificil,Claude,Sonnet 5,,sucesso,sim,sim,9,9,0,100.00,0.962,,
CT28,dificil,Claude,Sonnet 5,,erro_inicializacao,nao,nao,0,0,0,N/A,0.575,,"FAIL ../../../04-respostas-llms/claude/dificil/CT28_claude.test.js ● Test suite failed to run TypeError: Schema is not a constructor 3 | const { Schema } = mongoose 4 | > 5 | const CycleSchema = new Schema({ | ^ 6 | currentCycle: {type: Number, default: 1}, 7 | startDate: {type: Date, default: Date.now()}, 8 | daysPassed: {type: Number, default: 0}, at Object.<anonymous> (01-projeto-base/backend/hidroWebnia_API-main/src/model/Devices.js:5:21) at Object.require (04-respostas-llms/claude/dificil/CT28_claude.test.js:15:17) Test Suites: 1 failed, 1 total Tests: 0 total Snapshots: 0 total Time: 0.347 s Ran all test suites within paths ""C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\04-respostas-llms\claude\dificil\CT28_claude.test.js"". Test results written to: ..\..\..\05-execucao\resultado-jest-10152-1788480756650-qpaal4nxm7.json"
CT29,dificil,Claude,Sonnet 5,,sucesso,sim,sim,9,9,0,100.00,1.008,,
CT30,dificil,Claude,Sonnet 5,,sucesso,sim,sim,15,15,0,100.00,0.577,,
CT01,facil,Gemini,3.1 Pro,,sucesso,sim,sim,11,11,0,100.00,0.569,,
CT02,facil,Gemini,3.1 Pro,,sucesso,sim,sim,9,9,0,100.00,0.579,,
CT03,facil,Gemini,3.1 Pro,,sucesso,sim,sim,8,8,0,100.00,0.569,,
CT04,facil,Gemini,3.1 Pro,,sucesso,sim,sim,13,13,0,100.00,0.629,,
CT05,facil,Gemini,3.1 Pro,,sucesso,sim,sim,16,16,0,100.00,0.610,,
CT06,facil,Gemini,3.1 Pro,,sucesso,sim,sim,14,14,0,100.00,0.618,,
CT07,facil,Gemini,3.1 Pro,,sucesso,sim,sim,14,14,0,100.00,0.602,,
CT08,facil,Gemini,3.1 Pro,,sucesso,sim,sim,14,14,0,100.00,0.585,,
CT09,facil,Gemini,3.1 Pro,,falha_testes,sim,nao,14,12,2,85.71,0.632,,"Error: expect(received).toThrow(expected) Expected substring: ""Data inválida"" Received function did not throw at Object.toThrow (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\04-respostas-llms\gemini\facil\CT09_gemini.test.js:86:68) at Promise.finally.completed (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\05-execucao\node_modules\jest-circus\build\jestAdapterInit.js:1834:28) at new Promise (<anonymous>) at callAsyncCircusFn (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\05-execucao\node_modules\jest-circus\build\jestAdapterInit.js:1774:10) at _callCircusTest (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\05-execucao\node_modules\jest-circus\build\jestAdapterInit.js:1167:40) at _runTestInContext (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\05-execucao\"
CT10,facil,Gemini,3.1 Pro,,falha_testes,sim,nao,8,7,1,87.50,0.570,,"Error: expect(received).toThrow(expected) Expected substring: ""Data inválida"" Received function did not throw at Object.toThrow (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\04-respostas-llms\gemini\facil\CT10_gemini.test.js:66:16) at Promise.finally.completed (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\05-execucao\node_modules\jest-circus\build\jestAdapterInit.js:1834:28) at new Promise (<anonymous>) at callAsyncCircusFn (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\05-execucao\node_modules\jest-circus\build\jestAdapterInit.js:1774:10) at _callCircusTest (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\05-execucao\node_modules\jest-circus\build\jestAdapterInit.js:1167:40) at _runTestInContext (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\05-execucao\"
CT11,medio,Gemini,3.1 Pro,,sucesso,sim,sim,5,5,0,100.00,0.582,,
CT12,medio,Gemini,3.1 Pro,,sucesso,sim,sim,4,4,0,100.00,0.543,,
CT13,medio,Gemini,3.1 Pro,,sucesso,sim,sim,12,12,0,100.00,0.560,,
CT14,medio,Gemini,3.1 Pro,,sucesso,sim,sim,11,11,0,100.00,0.567,,
CT15,medio,Gemini,3.1 Pro,,sucesso,sim,sim,11,11,0,100.00,0.598,,
CT16,medio,Gemini,3.1 Pro,,sucesso,sim,sim,11,11,0,100.00,0.563,,
CT17,medio,Gemini,3.1 Pro,,sucesso,sim,sim,10,10,0,100.00,0.558,,
CT18,medio,Gemini,3.1 Pro,,sucesso,sim,sim,6,6,0,100.00,0.624,,
CT19,medio,Gemini,3.1 Pro,,sucesso,sim,sim,5,5,0,100.00,0.631,,
CT20,medio,Gemini,3.1 Pro,,sucesso,sim,sim,4,4,0,100.00,0.591,,
CT21,dificil,Gemini,3.1 Pro,,sucesso,sim,sim,6,6,0,100.00,0.817,,
CT22,dificil,Gemini,3.1 Pro,,sucesso,sim,sim,6,6,0,100.00,0.817,,
CT23,dificil,Gemini,3.1 Pro,,sucesso,sim,sim,11,11,0,100.00,0.818,,
CT24,dificil,Gemini,3.1 Pro,,falha_testes,sim,nao,5,4,1,80.00,0.797,,Error: Erro de Conexão DB at Object.<anonymous> (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\04-respostas-llms\gemini\dificil\CT24_gemini.test.js:126:40) at Promise.finally.completed (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\05-execucao\node_modules\jest-circus\build\jestAdapterInit.js:1834:28) at new Promise (<anonymous>) at callAsyncCircusFn (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\05-execucao\node_modules\jest-circus\build\jestAdapterInit.js:1774:10) at _callCircusTest (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\05-execucao\node_modules\jest-circus\build\jestAdapterInit.js:1167:40) at _runTestInContext (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\05-execucao\node_modules\jest-circus\build\jestAdapterInit.js:1103:3) at runTestWithConte
CT25,dificil,Gemini,3.1 Pro,,sucesso,sim,sim,2,2,0,100.00,0.583,,
CT26,dificil,Gemini,3.1 Pro,,sucesso,sim,sim,3,3,0,100.00,0.992,,
CT27,dificil,Gemini,3.1 Pro,,sucesso,sim,sim,6,6,0,100.00,0.854,,
CT28,dificil,Gemini,3.1 Pro,,erro_inicializacao,nao,nao,0,0,0,N/A,0.468,,"FAIL ../../../04-respostas-llms/gemini/dificil/CT28_gemini.test.js ● Test suite failed to run TypeError: Schema is not a constructor 3 | const { Schema } = mongoose 4 | > 5 | const CycleSchema = new Schema({ | ^ 6 | currentCycle: {type: Number, default: 1}, 7 | startDate: {type: Date, default: Date.now()}, 8 | daysPassed: {type: Number, default: 0}, at Object.<anonymous> (01-projeto-base/backend/hidroWebnia_API-main/src/model/Devices.js:5:21) at Object.require (04-respostas-llms/gemini/dificil/CT28_gemini.test.js:2:17) Test Suites: 1 failed, 1 total Tests: 0 total Snapshots: 0 total Time: 0.239 s Ran all test suites within paths ""C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\04-respostas-llms\gemini\dificil\CT28_gemini.test.js"". Test results written to: ..\..\..\05-execucao\resultado-jest-10152-1788480776320-10n6ljak2oeh.json"
CT29,dificil,Gemini,3.1 Pro,,erro_inicializacao,nao,nao,0,0,0,N/A,0.609,,"FAIL ../../../04-respostas-llms/gemini/dificil/CT29_gemini.test.js ● Test suite failed to run TypeError: Schema is not a constructor 3 | const { Schema } = mongoose 4 | > 5 | const CycleSchema = new Schema({ | ^ 6 | currentCycle: {type: Number, default: 1}, 7 | startDate: {type: Date, default: Date.now()}, 8 | daysPassed: {type: Number, default: 0}, at Object.<anonymous> (01-projeto-base/backend/hidroWebnia_API-main/src/model/Devices.js:5:21) at Object.require (04-respostas-llms/gemini/dificil/CT29_gemini.test.js:2:17) Test Suites: 1 failed, 1 total Tests: 0 total Snapshots: 0 total Time: 0.36 s Ran all test suites within paths ""C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\04-respostas-llms\gemini\dificil\CT29_gemini.test.js"". Test results written to: ..\..\..\05-execucao\resultado-jest-10152-1788480776791-lh9j4un5l1.json"
CT30,dificil,Gemini,3.1 Pro,,falha_testes,sim,nao,5,4,1,80.00,0.642,,"Error: expect(jest.fn()).toHaveBeenNthCalledWith(n, ...expected) n: 1 Expected: {""Bomba"": ""N/A"", ""Condutividade"": ""N/A"", ""Data/Hora"": ""N/A"", ""Fluxo Água"": ""N/A"", ""Luminosidade"": ""N/A"", ""Nível Contêiner"": ""N/A"", ""Temp. Água"": ""N/A"", ""Temperatura"": ""N/A"", ""Tempo Online"": ""N/A"", ""UV"": ""N/A"", ""Umidade"": ""N/A"", ""pH"": ""N/A""} Received -> 1 @@ -1,11 +1,11 @@ Object { ""Bomba"": ""N/A"", ""Condutividade"": ""N/A"", ""Data/Hora"": ""N/A"", ""Fluxo Água"": ""N/A"", - ""Luminosidade"": ""N/A"", + ""Luminosidade"": ""NaN lux"", ""Nível Contêiner"": ""N/A"", ""Temp. Água"": ""N/A"", ""Temperatura"": ""N/A"", ""Tempo Online"": ""N/A"", ""UV"": ""N/A"",, 2: {""Bomba"": ""N/A"", ""Condutividade"": ""N/A"", ""Data/Hora"": ""N/A"", ""Fluxo Água"": ""N/A"", ""Luminosidade"": ""N/A"", ""Nível Contêiner"": ""N/A"", ""Temp. Água"": ""N/A"", ""Temperatura"": ""N/A"", ""Tempo Online"": ""N/A"", ""UV"": ""N/A"", ""Umidade"": ""N/A"", ""pH"": ""N/A""} Number of calls: 2 at Object.toHaveBeenNthCalledWith (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\04-res"
